Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,fpl_base.Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,B (PPI),B +/-,Own%
Campbell,36,0,0,0,0,0,0,0,0,0,0,0,1,0,1,CAR,1 - 3,LIV,Away,17,FWD,29,Very difficult,75,0,,0.054
Cornelius,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CAR,1 - 3,LIV,Away,17,FWD,29,Very difficult,76,0,,1
Odemwingie,54,0,0,0,3,0,0,0,0,0,0,0,2,0,1,CAR,1 - 3,LIV,Away,17,FWD,29,Very difficult,468,0,,4
Adrián,90,0,0,0,3,0,0,0,0,0,4,0,6,4,2,WHU,1 - 3,MUN,Away,17,GKP,31,Extremely difficult,474,0,,1
Collins,74,0,0,0,3,0,0,0,0,0,0,0,5,1,1,WHU,1 - 3,MUN,Away,17,DEF,31,Extremely difficult,475,0,,32
Demel,90,0,0,0,3,0,0,0,0,0,0,0,12,2,1,WHU,1 - 3,MUN,Away,17,DEF,31,Extremely difficult,478,0,,14
Tomkins,90,0,0,0,3,0,0,0,1,0,0,0,5,4,0,WHU,1 - 3,MUN,Away,17,DEF,31,Extremely difficult,480,0,,2
McCartney,90,0,0,0,3,0,0,0,1,0,0,0,4,1,0,WHU,1 - 3,MUN,Away,17,DEF,31,Extremely difficult,481,0,,3
Rat,16,0,0,0,0,0,0,0,0,0,0,0,9,1,1,WHU,1 - 3,MUN,Away,17,DEF,31,Extremely difficult,483,0,,5
Collison,29,0,0,0,1,0,0,0,0,0,0,0,2,1,1,WHU,1 - 3,MUN,Away,17,MID,31,Extremely difficult,485,0,,0
Taylor,61,0,0,0,2,0,0,0,0,0,0,0,5,2,2,WHU,1 - 3,MUN,Away,17,MID,31,Extremely difficult,486,0,,1
Noble,90,0,0,0,3,0,0,0,0,0,0,0,8,3,2,WHU,1 - 3,MUN,Away,17,MID,31,Extremely difficult,487,0,,12
Morrison,90,0,0,0,3,0,0,0,1,0,0,0,4,3,1,WHU,1 - 3,MUN,Away,17,MID,31,Extremely difficult,488,0,,85
Diamé,90,0,0,0,3,0,0,0,0,0,0,0,4,0,2,WHU,1 - 3,MUN,Away,17,MID,31,Extremely difficult,490,0,,19
Jarvis,70,0,0,0,2,0,0,0,1,0,0,0,1,1,1,WHU,1 - 3,MUN,Away,17,MID,31,Extremely difficult,492,0,,0.013
Maiga,90,0,1,0,3,0,0,0,0,0,0,0,5,4,5,WHU,1 - 3,MUN,Away,17,FWD,31,Extremely difficult,495,0,,2
Cole,20,1,0,0,1,0,0,0,0,0,0,1,20,9,6,WHU,1 - 3,MUN,Away,17,FWD,31,Extremely difficult,592,0,1,0
Guzan,90,0,0,0,2,0,0,0,0,0,0,0,3,3,1,AVL,1 - 2,STK,Away,17,GKP,13,Average,26,0,,47
Baker,90,0,0,0,2,0,0,0,0,0,0,0,13,1,1,AVL,1 - 2,STK,Away,17,DEF,13,Average,27,0,,117
Clark,90,0,0,0,2,0,0,0,1,0,0,0,1,2,0,AVL,1 - 2,STK,Away,17,DEF,13,Average,28,0,,24
Lowton,90,0,0,0,2,0,0,0,0,0,0,0,6,3,1,AVL,1 - 2,STK,Away,17,DEF,13,Average,30,0,,0.009
Herd,90,0,0,0,2,0,0,0,1,0,0,0,1,-1,1,AVL,1 - 2,STK,Away,17,MID,13,Average,36,0,,0
Delph,90,0,0,0,2,0,0,0,1,0,0,0,4,2,1,AVL,1 - 2,STK,Away,17,MID,13,Average,37,0,,16
Albrighton,80,0,0,0,2,0,0,0,1,0,0,0,2,0,1,AVL,1 - 2,STK,Away,17,MID,13,Average,38,0,,1
Westwood,90,0,0,0,2,0,0,0,1,0,0,0,1,3,1,AVL,1 - 2,STK,Away,17,MID,13,Average,44,0,,3
Bacuna,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,AVL,1 - 2,STK,Away,17,MID,13,Average,46,0,,29
Tonev,66,0,0,0,1,0,0,0,0,0,0,0,5,1,2,AVL,1 - 2,STK,Away,17,MID,13,Average,47,0,,2
